#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# vrs620.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Version 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Prof. Dr. Peter A. Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNU GPL V2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
r,,Reg11,Reg11,,,,1100,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg12,Reg12,,,,1200,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg13,Reg13,,,,1300,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg14,Reg14,,,,1400,,,HEX,,,,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg15,Reg15,,,,1500,,,HEX,,,,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg16,Reg16,,,,1600,,,HEX,,,,,,HEX,,,,,,HEX,,,,,,,,,,,,,,,,,,,,,
r,,Reg17,Reg17,,,,1700,,,HEX,,,,,,HEX,,,,,,HEX,,,,,,,,,,,,,,,,,,,,,
r,,FlowTemp,Vorlauftemperatur,,,,1800,,,temp;sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg6B,Reg6B,,,,6B00,,,temp;sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg76,Reg76,,,,7600,,,status;temp;status;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
################################# Get Messages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ra,CIR,,,,23,B504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*rb,HWC,,,,25,B504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*rc,HC,,,,26,B504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*rd,MIX,,,,50,B504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*re,SOL,,,,EC,B504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra,,OperatingMode,,,,,01,,,temp0;hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rb,,OperatingMode,Speichertemperatur Soll/Mode,,,,01,,,temp0;hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc;rd,,OperatingMode,Raumtemperatur/Mode,,,,01,,,temp0;mcmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,,OperatingMode, ,,,,01,,,temp0;mcmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgMonday,Schaltzeiten  Montag,,,,02,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgTuesday,Schaltzeiten  Dienstag,,,,03,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgWednesday,Schaltzeiten  Mittwoch,,,,04,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgThursday,Schaltzeiten  Donnerstag,,,,05,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgFriday,Schaltzeiten  Freitag,,,,06,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgSaturday,Schaltzeiten  Samstag,,,,07,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra;rb;rc,,TimerProgSunday,Schaltzeiten  Sonntag,,,,08,,,slot1-3;days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rb,,Param1,SP1; ?; ?; ?; SP1.min; SP1.max; ?,,,,09,,,temp0;status;status;status;temp0;temp0;status;temp0;temp0;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc;rd,,Param1,RaumTemp AbsenkTemp / 8c 00 85 /AbschaltTemp Raumaufschaltung MinVL MaxVL Vorheizzeit,,,,09,,,temp0;temp0;status;status;status;temp0;temp0;temp0;temp0;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rb,,Status1,,,,,0A,,,temp0;hwmode;status;status;status;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,,Status1,Vorlauf VL; Pumpe,,,,0A,,,status;status;status;status;status;temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rb,,Status2,Status Warmwasserkreis:Status; Ladung;  SP1; Target; ,,,,0D,,,status;status;temp;temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc;rd,,Status2a,Status Heizkreis,,,,0D,,,temp0;status;temp;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,,Status2,Speicher SP1 – SP3,,,,0F,,,temp;temp;temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,,ParmSOL,Max/HystOn/HystOf f für SOL1 SOL2 LEAD ,,,,11,,,temp0;temp0;temp0;temp0;temp0;temp0;temp0;temp0;temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,,StatusSOL1,KollTemp/Status/PumpenLZ für SOL1 SOL2,,,,12,,,temp;status;energy;temp;status;energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,,StatusSOL2,Solarer Ertrag; Fluss; Pumpe (?),,,,13,,,energy;skip;energy;skip;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rb,,isInService,Warmwasserdienst,,,,17,,,yesno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re,,StatusSOL3,KollTemp; Status; Füllung; Power,,,,21,,,temp1;skip;status;percent0;percent0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,THER,Status,VL/RL/AussenT/VLWW/RLWW/Status,,08,B511,01,,,temp1;temp1;temp;temp1;temp1;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
################################# Set Messages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
