Files with a maintainer. If you wish to change a file, please contact the
maintainer of the file to do the change.

The third column specifies, where/how the maintainer should be contacted. If
there is no reaction from the mainainer within 3 weeks, then rudolfkoenig
(forum.fhem.de/FHEM Forum) should be contacted, in order to assign a new
maintainer.

When adding a new file, add yourself as the maintainer.

File                         Maintainer           Forum
FHEM/91_eventTypes.pm        rudolfkoenig         Frontends/FHEMWEB
FHEM/91_notify.pm            rudolfkoenig         Automatisierung
FHEM/91_sequence.pm          rudolfkoenig         Automatisierung
FHEM/91_watchdog.pm          rudolfkoenig         Automatisierung
FHEM/92_FileLog.pm           rudolfkoenig         Automatisierung
FHEM/92_SingleFileLog.pm     rudolfkoenig         Automatisierung
FHEM/93_DbLog.pm             Tobias/DS_Starter    Automatisierung
FHEM/93_DbRep.pm             DS_Starter           Sonstiges
FHEM/93_Log2Syslog.pm        DS_Starter           Automatisierung
FHEM/93_FHEM2FHEM.pm         rudolfkoenig         Automatisierung
FHEM/93_PWMR.pm              jamesgo              Heizungssteuerung/Raumklima
FHEM/94_PWM.pm               jamesgo              Heizungssteuerung/Raumklima
FHEM/95_FLOORPLAN.pm         ulimaass             Frontends/FLOORPLAN
FHEM/95_Alarm.pm             pahenning            Unterstützende Dienste
FHEM/95_Astro.pm             pahenning            Unterstützende Dienste
FHEM/95_Babble.pm             pahenning            Unterstützende Dienste
FHEM/95_PostMe.pm            pahenning            Unterstützende Dienste
FHEM/95_YAAHM.pm             pahenning            Unterstützende Dienste
FHEM/95_Dashboard.pm         DS_Starter/orphan    Frontends
FHEM/95_PachLog.pm           rudolfkoenig/orphan  Sonstiges
FHEM/95_holiday.pm           rudolfkoenig         Sonstiges
FHEM/95_remotecontrol.pm     ulimaass             Frontends
FHEM/96_SIP.pm               wzut,plin            Sonstiges
FHEM/96_Snapcast.pm          unimatrix            Multimedia
FHEM/97_TrashCal.pm          Tobias               Unterstuetzende Dienste
FHEM/97_SprinkleControl.pm   Tobias               Unterstuetzende Dienste
FHEM/98_Text2Speech.pm       Tobias               Unterstuetzende Dienste
FHEM/98_MediaList.pm         Tobias               Multimedia
